year,month,country,nTourist
2015,1,호주,24500.0
2015,1,북마리아나(사이판) ,21145.0
2015,1,뉴질랜드,10112.0
2015,1,팔라우,1756.0
2015,1,피지,561.0
2015,2,호주,21000.0
2015,2,북마리아나(사이판) ,13536.0
2015,2,뉴질랜드,6000.0
2015,2,팔라우,828.0
2015,2,피지,371.0
2015,3,호주,19200.0
2015,3,북마리아나(사이판) ,14989.0
2015,3,뉴질랜드,6352.0
2015,3,팔라우,820.0
2015,3,피지,850.0
2015,4,호주,16700.0
2015,4,북마리아나(사이판) ,17359.0
2015,4,뉴질랜드,4416.0
2015,4,팔라우,813.0
2015,4,피지,474.0
2015,5,호주,16100.0
2015,5,북마리아나(사이판) ,16237.0
2015,5,뉴질랜드,3584.0
2015,5,팔라우,960.0
2015,5,피지,502.0
2015,6,호주,12700.0
2015,6,북마리아나(사이판) ,13985.0
2015,6,뉴질랜드,2912.0
2015,6,팔라우,886.0
2015,6,피지,496.0
2015,7,호주,15900.0
2015,7,북마리아나(사이판) ,15321.0
2015,7,뉴질랜드,3936.0
2015,7,팔라우,985.0
2015,7,피지,520.0
2015,8,호주,16700.0
2015,8,북마리아나(사이판) ,8479.0
2015,8,뉴질랜드,3296.0
2015,8,팔라우,1103.0
2015,8,피지,327.0
2015,9,호주,15500.0
2015,9,북마리아나(사이판) ,12632.0
2015,9,뉴질랜드,3200.0
2015,9,팔라우,768.0
2015,9,피지,538.0
2015,10,호주,18800.0
2015,10,북마리아나(사이판) ,14370.0
2015,10,뉴질랜드,5264.0
2015,10,팔라우,1057.0
2015,10,피지,637.0
2015,11,호주,22800.0
2015,11,북마리아나(사이판) ,16848.0
2015,11,뉴질랜드,6880.0
2015,11,팔라우,1170.0
2015,11,피지,781.0
2015,12,호주,30100.0
2015,12,북마리아나(사이판) ,17721.0
2015,12,뉴질랜드,9040.0
2015,12,팔라우,1181.0
2015,12,피지,643.0
2016,1,호주,28100.0
2016,1,북마리아나(사이판) ,17125.0
2016,1,뉴질랜드,12752.0
2016,1,팔라우,1392.0
2016,1,피지,650.0
2016,2,호주,28200.0
2016,2,북마리아나(사이판) ,13638.0
2016,2,뉴질랜드,8800.0
2016,2,팔라우,1038.0
2016,2,피지,503.0
2016,3,호주,24400.0
2016,3,북마리아나(사이판) ,12743.0
2016,3,뉴질랜드,7328.0
2016,3,팔라우,782.0
2016,3,피지,680.0
2016,4,호주,20600.0
2016,4,북마리아나(사이판) ,13564.0
2016,4,뉴질랜드,5952.0
2016,4,팔라우,1047.0
2016,4,피지,596.0
2016,5,호주,18900.0
2016,5,북마리아나(사이판) ,13850.0
2016,5,뉴질랜드,4864.0
2016,5,팔라우,864.0
2016,5,피지,720.0
2016,6,호주,17800.0
2016,6,북마리아나(사이판) ,18556.0
2016,6,뉴질랜드,3776.0
2016,6,팔라우,758.0
2016,6,피지,646.0
2016,7,호주,20700.0
2016,7,북마리아나(사이판) ,21092.0
2016,7,뉴질랜드,5504.0
2016,7,팔라우,1021.0
2016,7,피지,680.0
2016,8,호주,21100.0
2016,8,북마리아나(사이판) ,21528.0
2016,8,뉴질랜드,4368.0
2016,8,팔라우,1057.0
2016,8,피지,632.0
2016,9,호주,22000.0
2016,9,북마리아나(사이판) ,19840.0
2016,9,뉴질랜드,5328.0
2016,9,팔라우,1169.0
2016,9,피지,609.0
2016,10,호주,21900.0
2016,10,북마리아나(사이판) ,20332.0
2016,10,뉴질랜드,5840.0
2016,10,팔라우,1029.0
2016,10,피지,761.0
2016,11,호주,26200.0
2016,11,북마리아나(사이판) ,24764.0
2016,11,뉴질랜드,8752.0
2016,11,팔라우,1089.0
2016,11,피지,794.0
2016,12,호주,30200.0
2016,12,북마리아나(사이판) ,31124.0
2016,12,뉴질랜드,9120.0
2016,12,팔라우,1195.0
2016,12,피지,800.0
2017,1,호주,32400.0
2017,1,북마리아나(사이판) ,30831.0
2017,1,뉴질랜드,12592.0
2017,1,팔라우,1406.0
2017,1,피지,749.0
2017,2,호주,29800.0
2017,2,북마리아나(사이판) ,30313.0
2017,2,뉴질랜드,8768.0
2017,2,팔라우,1123.0
2017,2,피지,633.0
2017,3,호주,23700.0
2017,3,북마리아나(사이판) ,28712.0
2017,3,뉴질랜드,7584.0
2017,3,팔라우,769.0
2017,3,피지,732.0
2017,4,호주,22900.0
2017,4,북마리아나(사이판) ,27463.0
2017,4,뉴질랜드,6512.0
2017,4,팔라우,1106.0
2017,4,피지,634.0
2017,5,호주,20000.0
2017,5,북마리아나(사이판) ,24987.0
2017,5,뉴질랜드,5008.0
2017,5,팔라우,895.0
2017,5,피지,640.0
2017,6,호주,17800.0
2017,6,북마리아나(사이판) ,27975.0
2017,6,뉴질랜드,3968.0
2017,6,팔라우,1096.0
2017,6,피지,733.0
2017,7,호주,20200.0
2017,7,북마리아나(사이판) ,29941.0
2017,7,뉴질랜드,6000.0
2017,7,팔라우,1387.0
2017,7,피지,703.0
2017,8,호주,21100.0
2017,8,북마리아나(사이판) ,30963.0
2017,8,뉴질랜드,4688.0
2017,8,팔라우,1142.0
2017,8,피지,672.0
2017,9,호주,26200.0
2017,9,북마리아나(사이판) ,25691.0
2017,9,뉴질랜드,6688.0
2017,9,팔라우,1236.0
2017,9,피지,803.0
2017,10,호주,27800.0
2017,10,북마리아나(사이판) ,24411.0
2017,10,뉴질랜드,8928.0
2017,10,팔라우,735.0
2017,10,피지,968.0
2017,11,호주,27200.0
2017,11,북마리아나(사이판) ,24388.0
2017,11,뉴질랜드,9312.0
2017,11,팔라우,438.0
2017,11,피지,771.0
2017,12,호주,32700.0
2017,12,북마리아나(사이판) ,29092.0
2017,12,뉴질랜드,11120.0
2017,12,팔라우,562.0
2017,12,피지,833.0
2018,1,호주,34500.0
2018,1,북마리아나(사이판) ,28750.0
2018,1,뉴질랜드,14016.0
2018,1,팔라우,1810.0
2018,1,피지,792.0
2018,2,호주,26600.0
2018,2,북마리아나(사이판) ,22365.0
2018,2,뉴질랜드,8560.0
2018,2,팔라우,1000.0
2018,2,피지,553.0
2018,3,호주,26300.0
2018,3,북마리아나(사이판) ,25081.0
2018,3,뉴질랜드,9136.0
2018,3,팔라우,1114.0
