,Name,Score,Description
0,,,
1,유성유스호스텔,3.3,-
2,,,
3,유성호텔,3.9,-
4,지질박물관,4.4,-
5,,,
6,호텔리베라,3.8,-
7,,,
8,해인사관광호텔,3.7,-
9,한국은행 화폐박물관,4.4,-
10,대청댐,-,-
11,로하스가족공원 캠핑장,4.2,-
12,장동산림욕장,4.6,-
