,Name,Score,Description
233,해금강테마박물관 HAEGEUMGANG THEME MUSEUM,3.6,-
234,,,
235,바람의언덕 리조트,4.2,-
236,황포해수욕장,3.8,-
237,흥남해수욕장,3.8,-
238,,,
239,대운산자연휴양림,4.3,-
240,동부산컨트리클럽,4.4,-
241,통영동원로얄CC,4.1,-
242,양산시립박물관,4.3,-
243,,,
244,양산컨트리클럽,3.9,-
245,양산타워,4.2,-
246,에덴벨리 루지,4.2,-
247,에덴밸리CC,4.0,-
248,,,
249,,,
250,임경대,4.2,-
251,,,
252,,,
253,,,
254,홍룡사,4.4,-
255,황산베랑길,4.1,-
256,,,
257,,,
258,,,
259,충익사,3.8,-
260,이병철 생가,4.0,-
261,함안 고려동 유적지,4.1,-
262,악양둑방길,3.8,-
263,함안악양생태공원,4.0,-
264,"애국지사 산돌 손양원 생가,기념관",4.3,-
265,여항산,4.2,-
266,입곡군립공원,4.3,-
267,함안 말이산 고분군,4.4,-
268,함안박물관,4.1,-
269,함안연꽃테마파크,4.2,-
270,,,
271,박진전쟁기념관,3.8,-
272,부곡스파디움,4.0,-
273,,,
274,부곡온천르네상스관,5.0,-
275,,,
276,,,
277,패총전시관,4.5,-
278,산토끼노래동산,4.3,-
279,우포늪,4.3,-
280,,,
281,우포생태촌유스호스텔,4.5,-
282,일성콘도 부곡,3.0,-
283,창녕박물관,4.3,-
284,,,
285,화왕산군립공원,4.4,-
286,화왕산 자연휴양림,4.4,-
287,거류산,4.1,-
288,고성박물관,4.2,-
289,고성탈박물관,4.2,-
290,,,
291,,,
292,,,
293,상족암 군립공원,4.4,-
294,,,
295,,,
296,적석산,4.1,-
297,,,
298,,,
299,,,
300,남해양떼목장 양모리학교,4.3,-
301,남해국제탈공연예술촌,3.7,-
302,남해군요트학교,3.4,-
303,,,
304,남해유배문학관,3.9,-
305,남해편백 자연휴양림,4.2,-
306,망운산,3.8,-
307,사우스 케이프 오너스클럽,4.6,-
308,상주해수욕장,4.1,-
309,섬이정원,3.8,-
310,송정해수욕장,4.3,-
311,아난티 남해,4.2,-
312,원예예술촌,3.9,-
313,이충무공전몰유허,4.2,-
314,이순신영상관,3.9,-
315,,,
316,남해토피아랜드,4.2,-
317,남해파독전시관,4.0,-
318,,,
319,,,
320,해오름예술촌,3.4,-
321,구재봉자연휴양림,4.3,-
322,,,
323,금오산,4.1,-
324,삼성궁,4.2,-
325,,,
326,하동군지리산생태과학관,4.1,-
327,쌍계사,4.4,-
328,최참판댁,4.1,-
329,,,
330,하동군청소년수련원,-,-
331,북천,4.3,-
332,하동 야생차 박물관,3.9,-
333,,,
334,남명기념관,4.0,-
335,남사 예담촌,3.8,-
336,산청 목면시배 유지,3.8,-
337,산청한의학박물관,3.9,-
338,성철대종사생가,4.1,-
339,산청 전 구형왕릉,3.9,-
340,,,
341,지리산내원자동차야영장,4.5,-
342,지리산,4.3,-
343,지리산,4.3,-
344,지리산,4.3,-
345,지리산 빨치산 토벌전시관,3.4,-
346,황매산(산청),4.3,-
347,황매산,4.4,-
348,,,
349,,,
350,함양일두고택,4.3,-
351,,,
352,,,
353,,,
354,가남정보화마을,2.6,-
355,,,
356,,,
357,,,
358,,,
359,가조온천,4.4,-
360,가조온천,4.4,-
361,,,
362,,,
363,개금약초,-,-
364,,,
365,거열산성군립공원,4.2,-
366,거창박물관,4.5,-
367,거창사건추모공원,4.3,-
368,거창사과테마파크,4.5,-
369,고견사,4.2,-
370,,,
371,,,
372,,,
373,서변정보화마을,-,-
374,,,
375,수승대,4.3,-
376,,,
377,,,
378,,,
379,거창군월성청소년수련원,4.3,-
380,,,
381,정온선생가옥,4.3,-
382,하늘비단체험마을,4.1,-
383,황금원숭이체험마을,4.0,-
384,가야산국립공원백운분소,4.3,-
385,미숭산,4.7,-
386,,,
387,,,
388,오도산자연휴양림,4.3,-
389,합천박물관,4.2,-
390,합천 영상테마파크,4.0,-
391,합천호,4.6,-
392,황매산군립공원,4.4,-
393,경상북도수목원,4.4,-
394,,,
395,구룡포 과메기 문화관,4.3,-
396,구룡포근대역사관,3.8,-
397,구룡포해수욕장,4.2,-
398,국립등대박물관,4.1,조각상이 전시되어 있는 독특한 해안 박물관으로 등대와 항법 보조기구가 이 곳의 하이라이트입니다.
399,,,
400,기청산식물원,4.0,-
401,덕동문화마을,4.0,-
402,,,
403,,,
404,포항가속기연구소,4.7,-
405,보경사,4.2,-
406,영일대해수욕장,4.1,-
407,사방기념공원,4.0,-
408,,,
409,새천년기념관,3.9,-
410,송도해수욕장,4.3,-
411,,,
412,영일민속박물관,4.3,-
413,,,
414,운제산,5.0,-
415,월포해수욕장,4.2,-
416,,,
417,한국로봇융합연구원,4.6,-
418,칠포해수욕장,3.9,-
419,,,
420,포스코 역사관,4.3,-
421,포항가속기연구소,4.7,-
422,포항시립미술관,4.3,-
423,,,
424,,,
425,한국로봇융합연구원,4.6,-
426,아차산 해맞이광장,4.4,-
427,화진해수욕장,4.1,-
428,포항 환호해맞이공원,4.4,-
429,동궁과 월지,4.4,서기 674년경에 지어진 궁전으로 3개의 작은 섬이 있고 여름에는 연꽃으로 뒤덮이는 인공 연못이 있습니다.
430,,,
431,경주세계문화엑스포,4.1,-
432,경주 양동마을,4.1,전통적인 초가 지붕 오두막 등 역사적인 건축물이 있는 오래된 마을입니다.
433,신라오릉,4.3,-
434,,,
435,경주 감은사지,4.3,-
436,경주 동궁원,4.1,-
437,경주월드,4.4,-
438,첨성대,4.4,태양년을 나타내기 위해 362개의 돌을 사용하여 건설한 초기 관측소입니다.
439,경주교촌마을,4.0,-
