,Name,Score,Description
232,청양숭의청소년수련원,5.0,-
233,청양고추문화마을,-,-
234,,,
235,칠갑산오토캠핑장,4.5,-
236,칠갑산,4.3,-
237,,,
238,칠갑산자연휴양림,3.9,-
239,칠갑산천문대,4.2,-
240,거북이마을,4.7,-
241,이응노생가,-,-
242,그림이 있는 정원,5.0,-
243,,,
244,남당항,3.9,-
245,문당환경농업마을,-,-
246,,,
247,한국식기박물관,4.0,-
248,,,
249,용봉산,4.2,-
250,용봉산 자연휴양림,4.3,-
251,용봉산 자연휴양림,4.3,-
252,,,
253,홍성조류탐사과학관,3.8,-
254,Jukdo,3.9,-
255,,,
256,,,
257,홍주성역사관,4.4,-
258,홍성 홍주의사총,3.8,-
259,가야산,4.6,-
260,(사단)예산대흥슬로시티협의회,3.8,-
261,덕산온천 관광지,4.2,-
262,봉수산자연휴양림,4.4,-
263,,,
264,수덕사,4.4,1308년에 건립된 불교 사찰 및 국보로 소나무 숲과 산으로 뒤덮여 있습니다.
265,수암산,4.1,-
266,스플라스 리솜 워터파크,3.9,-
267,아그로랜드 태신목장,4.1,-
268,알토란사과마을,4.6,-
269,,,
270,,,
271,예당호 출렁다리,4.1,-
272,예산군국민여가캠핑장,4.3,-
273,농업회사법인예산사과와인(주),4.7,-
274,예산황새공원,4.4,-
275,매헌윤봉길의사기념관,4.4,-
276,추사고택,4.4,-
277,추사박물관,4.0,-
278,충의사,4.4,-
279,한국고건축박물관,3.7,-
280,향천사,4.3,-
281,갈음이해수욕장,4.2,-
282,고남패총박물관,3.8,-
283,곰섬해수욕장,4.5,-
284,구례포해수욕장,3.9,-
285,구름포해수욕장,4.4,-
286,기지포해수욕장,4.3,-
287,꽃지해수욕장,4.1,-
288,꾸지나무골해수욕장,3.5,-
289,태안빛축제,3.7,-
290,,,
291,달산포해수욕장,4.4,-
292,두여해수욕장,4.2,-
293,마검포해수욕장,4.2,-
294,만리포해수욕장,4.4,-
295,몽산포해수욕장,3.9,-
296,,,
297,,,
298,바람아래해수욕장,4.2,-
299,밧개해수욕장,4.0,-
300,,,
301,방포해수욕장,4.1,-
302,백사장항,3.5,-
303,백사장해수욕장,4.2,-
304,백화산,3.9,-
305,,,
306,사목해수욕장,3.5,-
307,삼봉해수욕장,4.1,-
308,샛별길,-,-
309,샛별해수욕장,5.0,-
310,,,
311,솔향기길 1코스,4.2,-
312,태안 신두리 해안사구,4.2,-
313,신두리해수욕장,4.4,-
314,,,
315,안면도자연휴양림,4.3,-
316,안면도쥬라기박물관,3.8,-
317,안면해수욕장,4.3,-
318,(주)안흥유람선,3.7,-
319,안흥항,3.8,-
320,어은돌해수욕장,4.6,-
321,연포해수욕장,3.8,-
322,영목항선착장,2.5,-
323,오키드타운식물원,3.6,-
324,의항해수욕장,4.7,-
325,,,
326,장돌해수욕장,-,-
327,장사해수욕장,4.0,-
328,,,
329,천리포해수욕장,3.8,-
330,청산수목원,3.4,-
331,청포대해수욕장,4.1,-
332,태안비치컨트리클럽,3.6,-
333,통개해수욕장,5.0,-
334,파도리해수욕장,3.3,-
335,팜카밀레,3.9,-
336,학암포해수욕장,4.1,-
337,현대더링스CC,5.0,-
338,난지도해수욕장,4.0,-
339,,,
340,삽교호 관광지,3.8,-
341,,,
342,안섬포구,4.0,-
343,왜목마을,3.8,-
344,장고항,3.7,-
345,,,
346,,,
347,국립청주박물관,4.4,-
348,국립현대미술관 청주,4.3,-
349,충렬사,4.5,임진왜란 전투 중 사망한 군사를 기리는 16세기 사당으로 보수를 거쳐 재건되었습니다.
350,문암생태공원캠핑장,4.0,-
351,,,
352,상당산성,4.4,-
353,상당산성자연휴양림,4.0,-
354,상수허브랜드,2.7,-
355,수암골,3.9,-
356,옥화자연휴양림,4.2,-
357,용두사지 철당간(청주),4.0,-
358,,,
359,,,
360,청주고인쇄박물관,4.3,-
361,청주동물원,4.0,-
362,청주백제유물전시관,3.8,-
363,청주항교,3.8,-
364,현도오토캠핑장,4.0,-
365,,,
366,고구려비전시관,5.0,-
367,금가참숯,-,-
368,깊은산속 옹달샘,4.2,-
369,깊은산속 옹달샘,4.2,-
370,대영베이스c.c,3.7,-
371,,,
372,,,
373,,,
374,,,
375,문성자연휴양림,4.2,-
376,,,
377,충주 미륵대원지,4.0,-
378,,,
379,,,
380,봉황자연휴양림,4.3,-
381,충주사과과학관,3.8,-
382,,,
383,삼탄유원지,4.1,-
384,,,
385,,,
386,금강센테리움cc,4.0,-
387,금강센테리움cc,4.0,-
388,,,
389,,,
390,,,
391,,,
392,,,
393,,,
394,,,
395,,,
396,농협보험수안보수련원,4.2,-
397,,,
398,,,
399,,,
400,물탕공원,3.4,-
401,,,
402,,,
403,,,
404,,,
405,,,
