,Name,Score,Description
0,Anse Royale Beach,4.6,-
1,마항 드 셍뜨 안느 국립공원,4.6,"6개의 섬으로 이루어져 있으며 하이킹, 야생동물 관찰, 스노클링으로 유명한 암초 지역이 있습니다."
2,베이 터네 마린 국립공원,4.8,-
3,Victoria Clocktower,4.2,-
4,코폴리아 트레일,4.8,-
5,폰드 페르디난드,4.6,-
6,켐핀스키 세이셸 리조트,4.6,-
7,힐턴 세이셸 라브리즈 리조트 & 스파,4.7,-
8,빅또히아-세이셸 공항,4.1,-
9,포시즌 리조트 세이셸,4.7,-
10,Anse Takamaka Beach,4.6,-
11,힐턴 세이셸 노스홀름 리조트 & 스파,4.7,-
